爾	尔	ěr	thus/so/like that/you/thou
夏爾巴人	夏尔巴人	Xià ěr bā rén	Sherpa
多伊爾	多伊尔	Duō yī ěr	Doyle (name)
多佛爾	多佛尔	Duō fó ěr	Dover
多爾	多尔	Duō ěr	Dole (name)/Bob Dole (1923-), US Republican politician, Kansas senator 1969-1996
多爾袞	多尔衮	Duō ěr gǔn	Dorgon (1612-1651), fourteenth son of Nurhaci 努爾哈赤|努尔哈赤, successful general, instrumental in Manchu conquest of China, ruled China as regent 1644-1650 for his nephew Emperor Shunzhi 順治帝
大呼拉爾	大呼拉尔	Dà hū lā ěr	State Great Khural or Great State Assembly, Mongolian parliament
奧威爾	奥威尔	Ào wēi ěr	Orwell (name)/George Orwell (1903-1950), British novelist, author of Animal Farm 動物農場|动物农场 and 1984 一九八四年
奧康內爾	奥康内尔	Ào kāng nèi ěr	O'Connell (name)/Daniel O'Connell (1775-1847), Irish nationalist and catholic activist
奧斯瓦爾德	奥斯瓦尔德	Ào sī wǎ ěr dé	Oswald
奧爾巴尼	奥尔巴尼	Ào ěr bā ní	Albany, New York
奧爾布賴特	奥尔布赖特	Ào ěr bù lài tè	Madeleine Albright (1937-), former US Secretary of State
奧爾德尼島	奥尔德尼岛	Ào ěr dé ní Dǎo	Alderney (Channel Islands)
奧爾良	奥尔良	Ào ěr liáng	Orléans
奧馬爾	奥马尔	Ào mǎ ěr	Omar (Arabic name)
威爾士	威尔士	Wēi ěr shì	Wales, constituent nation of UK
威爾士語	威尔士语	Wēi ěr shì yǔ	Welsh (language)
威爾特郡	威尔特郡	Wēi ěr tè jùn	Wiltshire (English county)
威爾遜	威尔逊	Wēi ěr xùn	Wilson (name)
安吉爾	安吉尔	ān jí ěr	angel (loanword)
安格爾	安格尔	Ān gé ěr	Jean Auguste Dominique Ingres (1780-1867), French Neoclassical painter
安瓦爾	安瓦尔	Ān wǎ ěr	Anwar (name)/Anwar bin Ibrahim (1947-), Malaysian politician, deputy prime minister 1993-1998, imprisoned 1999-2004 on charges including alleged homosexual acts, subsequently overturned
安道爾	安道尔	Ān dào ěr	Andorra
安道爾共和國	安道尔共和国	Ān dào ěr Gòng hé guó	Republic of Andorra
安道爾城	安道尔城	Ān dào ěr chéng	Andorra la Vella, capital of Andorra
密爾沃基	密尔沃基	Mì ěr wò jī	Milwaukee (city)
富拉爾基	富拉尔基	Fù lā ěr jī	Fularji district of Qiqihar city 齊齊哈爾|齐齐哈尔[Qí qí hā ěr], Heilongjiang
富拉爾基區	富拉尔基区	Fù lā ěr jī qū	Fularji district of Qiqihar city 齊齊哈爾|齐齐哈尔[Qí qí hā ěr], Heilongjiang
察哈爾	察哈尔	Chá hā ěr	Chahar Province (former province in North China existing from 1912-1936)
察哈爾右翼中旗	察哈尔右翼中旗	Chá hā ěr yòu yì zhōng qí	Chahar Right Center banner or Caxar Baruun Garyn Dund khoshuu in Ulaanchab 烏蘭察布|乌兰察布[Wū lán chá bù], Inner Mongolia
察哈爾右翼前旗	察哈尔右翼前旗	Chá hā ěr yòu yì qián qí	Chahar Right Front banner or Caxar Baruun Garyn Ömnöd khoshuu in Ulaanchab 烏蘭察布|乌兰察布[Wū lán chá bù], Inner Mongolia
察哈爾右翼後旗	察哈尔右翼后旗	Chá hā ěr yòu yì hòu qí	Chahar Right Rear banner or Caxar Baruun Garyn Xoit khoshuu in Ulaanchab 烏蘭察布|乌兰察布[Wū lán chá bù], Inner Mongolia
察布查爾	察布查尔	Chá bù chá ěr	Qapqal Xibe autonomous county in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
察布查爾縣	察布查尔县	Chá bù chá ěr xiàn	Qapqal Xibe autonomous county in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
察布查爾錫伯自治縣	察布查尔锡伯自治县	Chá bù chá ěr Xī bó Zì zhì xiàn	Qapqal Xibe autonomous county in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
察爾汗鹽湖	察尔汗盐湖	Chá ěr hán Yán hú	Qarhan Salt Lake in west Qinghai
尤爾欽科	尤尔钦科	Yóu ěr qīn kē	Yurchenko (name)/Natalia Yurchenko (1965-), Russian gymnast/Yurchenko, a type of jump-off for vaulting
尤金·塞爾南	尤金·塞尔南	Yóu jīn · Sài ěr nán	Eugene Cernan (1934-), US astronaut in Apollo 10 and Apollo 17 missions, "last man on the moon"
尼日爾	尼日尔	Ní rì ěr	Niger (African state)/Niger River, West Africa
尼日爾河	尼日尔河	Ní rì ěr Hé	Niger River of West Africa
尼泊爾	尼泊尔	Ní bó ěr	Nepal
尼泊爾王國	尼泊尔王国	Ní bó ěr Wáng guó	Kingdom of Nepal
尼泊爾鷦鶥	尼泊尔鹪鹛	Ní bó ěr jiāo méi	(bird species of China) Nepal wren-babbler (Pnoepyga immaculata)
尼爾森	尼尔森	Ní ěr sēn	Nielsen or Nelson (name)
尼爾遜	尼尔逊	Ní ěr xùn	Nelson or Nillson (name)/Horatio Nelson (1758-1805), British naval hero
嶽得爾歌	岳得尔歌	yuè dé ěr gē	to yodel
巴塞爾	巴塞尔	Bā sāi ěr	Basel, Switzerland
巴布爾	巴布尔	Bā bù ěr	Zaheeruddin Babur (1483-1530), first ruler of Mughal dynasty of India
巴希爾	巴希尔	Bā xī ěr	Bashir (name)/Omar Hassan Ahmad al-Bashir (1944-), Sudanese military man and politician, president of Sudan from 1993
巴彥淖爾	巴彦淖尔	Bā yàn nào ěr	Bayan Nur prefecture-level city in Inner Mongolia
巴彥淖爾市	巴彦淖尔市	Bā yàn nào ěr shì	Bayan Nur prefecture-level city in Inner Mongolia
巴德爾	巴德尔	Bā dé ěr	Baldr or Baldur, god in Norse mythology/Andreas Baader (1943-1977), leader of Red Army Faction, a.k.a. the Baader-Meinhof group
巴控克什米爾	巴控克什米尔	Bā kòng Kè shí mǐ ěr	Pakistan administered Kashmir
巴斯特爾	巴斯特尔	Bā sī tè ěr	Basseterre, capital of Saint Kitts and Nevis
巴爾克嫩德	巴尔克嫩德	Bā ěr kè nèn dé	Jan Pieter Balkenende (1956-), prime minister of the Netherlands from 2002
巴爾喀什湖	巴尔喀什湖	Bā ěr kā shí Hú	Lake Balkhash in southeast Kazakhstan
巴爾多祿茂	巴尔多禄茂	Bā ěr duō lù mào	Bartholomew
巴爾幹	巴尔干	Bā ěr gàn	Balkan
巴爾幹半島	巴尔干半岛	Bā ěr gàn Bàn dǎo	Balkan Peninsula
巴爾扎克	巴尔扎克	Bā ěr zhā kè	Honoré de Balzac (1799-1850), French novelist, author of series La comédie humaine
巴爾的摩	巴尔的摩	Bā ěr dì mó	Baltimore (place name, surname etc)
巴爾舍夫斯基	巴尔舍夫斯基	Bā ěr shě fū sī jī	(Charlene) Barshefsky, US trade negotiator
布什爾	布什尔	Bù shí ěr	Bushehr Province of south Iran, bordering on the Persian Gulf/Bushehr, port city, capital of Bushehr Province
布干維爾	布干维尔	Bù gān wéi ěr	Bougainville, Papua New Guinea
布干維爾島	布干维尔岛	Bù gān wéi ěr Dǎo	Bougainville island, Papua New Guinea
布拉柴維爾	布拉柴维尔	Bù lā chái wéi ěr	Brazzaville, capital of Congo
布爾什維克	布尔什维克	Bù ěr shí wéi kè	Bolshevik
布爾代數	布尔代数	Bù ěr dài shù	Boolean algebra
布爾喬亞	布尔乔亚	bù ěr qiáo yà	bourgeois (loanword)
布爾津	布尔津	Bù ěr jīn	Burqin county or Burchin nahiyisi in Altay prefecture 阿勒泰地區|阿勒泰地区[Ā lè tài dì qū], Xinjiang
布爾津縣	布尔津县	Bù ěr jīn xiàn	Burqin county or Burchin nahiyisi in Altay prefecture 阿勒泰地區|阿勒泰地区[Ā lè tài dì qū], Xinjiang
布爾諾	布尔诺	Bù ěr nuò	Brno, city in Czech Republic
布痕瓦爾德	布痕瓦尔德	Bù hén wǎ ěr dé	Buchenwald
布萊爾	布莱尔	Bù lái ěr	Blair (name)
布蘭妮·斯皮爾斯	布兰妮·斯皮尔斯	Bù lán nī · Sī pí ěr sī	Britney Spears (1981-), US pop singer
布里斯托爾	布里斯托尔	Bù lǐ sī tuō ěr	Bristol port city in southwest England
布里斯托爾海峽	布里斯托尔海峡	Bù lǐ sī tuō ěr Hǎi xiá	Bristol Channel in southwest England
布魯塞爾	布鲁塞尔	Bù lǔ sài ěr	Brussels, capital of Belgium
希爾	希尔	Xī ěr	Hill (name)/Christopher Hill, US undersecretary of state of East Asian affairs
希爾伯特	希尔伯特	Xī ěr bó tè	David Hilbert (1862-1943), German mathematician
