縣	县	xiàn	county
環江毛南族自治縣	环江毛南族自治县	Huán jiāng Máo nán zú Zì zhì xiàn	Huanjiang Maonan autonomous county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
環江縣	环江县	Huán jiāng xiàn	Huanjiang Maonan autonomous county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
環縣	环县	Huán xiàn	Huan county in Qingyang 慶陽|庆阳[Qìng yáng], Gansu
瓊中縣	琼中县	Qióng zhōng xiàn	Qiongzhong Li and Miao autonomous county, Hainan
瓊中黎族苗族自治縣	琼中黎族苗族自治县	Qióng zhōng Lí zú Miáo zú Zì zhì xiàn	Qiongzhong Li and Miao autonomous county, Hainan
瓊結縣	琼结县	Qióng jié xiàn	Qonggyai county, Tibetan: 'Phyongs rgyas rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
瓜州縣	瓜州县	Guā zhōu xiàn	Guazhou county in Jiuquan 酒泉[Jiǔ quán], Gansu
甕安縣	瓮安县	Wèng ān xiàn	Wengan county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
甘南縣	甘南县	Gān nán xiàn	Gannan county in Qiqihar 齊齊哈爾|齐齐哈尔[Qí qí hā ěr], Heilongjiang
甘孜縣	甘孜县	Gān zī xiàn	Garzê county (Tibetan: dkar mdzes rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
甘德縣	甘德县	Gān dé xiàn	Gadê or Gande county (Tibetan: dga' bde rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
甘泉縣	甘泉县	Gān quán xiàn	Ganquan county in Yan'an 延安[Yán ān], Shaanxi
甘洛縣	甘洛县	Gān luò xiàn	Ganluo county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
甘谷縣	甘谷县	Gān gǔ xiàn	Gangu county in Tianshui 天水[Tiān shuǐ], Gansu
生達縣	生达县	Shēng dá xiàn	Sinda county, name of former county 1983-1999 in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet
田東縣	田东县	Tián dōng xiàn	Tiandong county in Baise 百色[Bǎi sè], Guangxi
田林縣	田林县	Tián lín xiàn	Tianlin county in Baise 百色[Bǎi sè], Guangxi
田陽縣	田阳县	Tián yáng xiàn	Tianyang county in Baise 百色[Bǎi sè], Guangxi
申扎縣	申扎县	Shēn zhā xiàn	Xainza county, Tibetan: Shan rtsa rdzong, in Nagchu prefecture 那曲地區|那曲地区[Nà qǔ dì qū], central Tibet
留壩縣	留坝县	Liú bà Xiàn	Liuba County in Hanzhong 漢中|汉中[Hàn zhōng], Shaanxi
略陽縣	略阳县	Lüè yáng Xiàn	Lüeyang County in Hanzhong 漢中|汉中[Hàn zhōng], Shaanxi
當涂縣	当涂县	Dāng tú xiàn	Dangtu county in Ma'anshan 馬鞍山|马鞍山[Mǎ ān shān], Anhui
當雄縣	当雄县	Dāng xióng xiàn	Damxung county, Tibetan: 'Dam gzhung rdzong in Lhasa 拉薩|拉萨[Lā sà], Tibet
疏勒縣	疏勒县	Shū lè xiàn	Shule county in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
疏附縣	疏附县	Shū fù xiàn	Shufu county in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
白朗縣	白朗县	Bái lǎng xiàn	Bainang county, Tibetan: Pa snam rdzong, in Shigatse prefecture, Tibet
白水縣	白水县	Bái shuǐ Xiàn	Baishui County in Weinan 渭南[Wèi nán], Shaanxi
白沙縣	白沙县	Bái shā xiàn	Baisha Lizu autonomous county, Hainan
白沙黎族自治縣	白沙黎族自治县	Bái shā Lí zú Zì zhì xiàn	Baisha Lizu autonomous county, Hainan
白河縣	白河县	Bái hé Xiàn	Baihe County in Ankang 安康[Ān kāng], Shaanxi
白玉縣	白玉县	Bái yù xiàn	Baiyü county (Tibetan: dpal yul rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
皋蘭縣	皋兰县	Gāo lán xiàn	Gaolan county in Lanzhou 蘭州|兰州[Lán zhōu], Gansu
皮山縣	皮山县	Pí shān Xiàn	Pishan County in Hotan Prefecture 和田地區|和田地区[Hé tián Dì qū], Xinjiang
盂縣	盂县	Yú xiàn	Yu county in Yangquan, Shanxi
盈江縣	盈江县	Yíng jiāng xiàn	Yingjiang county in Dehong Dai and Jingpo autonomous prefecture 德宏傣族景頗族自治州|德宏傣族景颇族自治州[Dé hóng Dǎi zú Jǐng pō zú zì zhì zhōu], Yunnan
監利縣	监利县	Jiān lì xiàn	Jianli county in Jingzhou 荊州|荆州[Jīng zhōu], Hubei
盤山縣	盘山县	Pán shān xiàn	Panshan county in Panjin 盤錦|盘锦, Liaoning
盤縣	盘县	Pán xiàn	Pan county in Liupanshui 六盤水|六盘水[Liù pán shuǐ], Guizhou
盧氏縣	卢氏县	Lú shì xiàn	Lushi county in Sanmenxia 三門峽|三门峡[Sān mén xiá], Henan
盧龍縣	卢龙县	Lú lóng xiàn	Lulong county in Qinhuangdao 秦皇島|秦皇岛[Qín huáng dǎo], Hebei
盱眙縣	盱眙县	Xū yí xiàn	Xuyi county in Huai'an 淮安[Huái ān], Jiangsu
省直管縣	省直管县	shěng zhí guǎn xiàn	direct management of a county by the province (PRC administrative reform)
眉縣	眉县	Méi Xiàn	Mei County in Baoji 寶雞|宝鸡[Bǎo jī], Shaanxi
睢寧縣	睢宁县	Suī níng xiàn	Suining county in Xuzhou 徐州[Xú zhōu], Jiangsu
睢縣	睢县	Suī xiàn	Sui county in Shangqiu 商丘[Shāng qiū], Henan
知縣	知县	zhī xiàn	county head magistrate (old)
石城縣	石城县	Shí chéng xiàn	Shicheng county in Ganzhou 贛州|赣州, Jiangxi
石屏縣	石屏县	Shí píng xiàn	Shiping county in Honghe Hani and Yi autonomous prefecture, Yunnan
石林彞族自治縣	石林彝族自治县	Shí lín Yí zú Zì zhì xiàn	Shilin Yi autonomous county in Kunming 昆明[Kūn míng], Yunnan
石林縣	石林县	Shí lín xiàn	Shilin Yi autonomous county in Kunming 昆明[Kūn míng], Yunnan
石柱土家族自治縣	石柱土家族自治县	Shí zhù Tǔ jiā zú Zì zhì xiàn	Shizhu Tujia Autonomous County in Qianjiang suburbs of Chongqing municipality
石柱縣	石柱县	Shí zhù xiàn	Shizhu Tujia autonomous county in Qianjiang suburbs of Chongqing municipality
石棉縣	石棉县	Shí mián xiàn	Shimian county in Ya'an 雅安[Yǎ ān], Sichuan
石樓縣	石楼县	Shí lóu xiàn	Shilou county in Lüliang 呂梁|吕梁[Lǚ liáng], Shanxi 山西
石泉縣	石泉县	Shí quán Xiàn	Shiquan County in Ankang 安康[Ān kāng], Shaanxi
石渠縣	石渠县	Shí qú xiàn	Sêrxü county (Tibetan: ser shul rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
石臺縣	石台县	Shí tái xiàn	Shitai county in Chizhou 池州[Chí zhōu], Anhui
石門縣	石门县	Shí mén xiàn	Shimen county in Changde 常德[Cháng dé], Hunan
石阡縣	石阡县	Shí qiān xiàn	Siqian county in Tongren prefecture 銅仁地區|铜仁地区[Tóng rén dì qū], Guizhou
硯山縣	砚山县	Yàn shān xiàn	Yanshan county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wén shān Zhuàng zú Miáo zú zì zhì zhōu], Yunnan
碌曲縣	碌曲县	Lù qǔ xiàn	Luqu county in Gannan Tibetan autonomous prefecture 甘南藏族自治州[Gān nán Zàng zú zì zhì zhōu], Gansu
碧土縣	碧土县	Bì tǔ xiàn	Putog, former county 1983-1999 in Zogang county 左貢縣|左贡县[Zuǒ gòng xiàn], Chamdo prefecture, Tibet
碭山縣	砀山县	Dàng shān xiàn	Dangshan county in Suzhou 宿州[Sù zhōu], Anhui
確山縣	确山县	Què shān xiàn	Queshan county in Zhumadian 駐馬店|驻马店[Zhù mǎ diàn], Henan
磁縣	磁县	Cí xiàn	Ci county in Handan 邯鄲|邯郸[Hán dān], Hebei
磐安縣	磐安县	Pán ān xiàn	Pan'an county in Jinhua 金華|金华[Jīn huá], Zhejiang
磐石縣	磐石县	Pán shí xiàn	Panshi county in Jilin
磴口縣	磴口县	Dèng kǒu xiàn	Dengkou county in Bayan Nur 巴彥淖爾|巴彦淖尔[Bā yàn nào ěr], Inner Mongolia
社旗縣	社旗县	Shè qí xiàn	Sheqi county in Nanyang 南陽|南阳[Nán yáng], Henan
祁東縣	祁东县	Qí dōng xiàn	Qidong county in Hengyang 衡陽|衡阳[Héng yáng], Hunan
祁縣	祁县	Qí xiàn	Qixian county in Jinzhong 晉中|晋中[Jìn zhōng], Shanxi
祁連縣	祁连县	Qí lián xiàn	Qilian county in Haibei Tibetan autonomous prefecture 海北藏族自治州[Hǎi běi Zàng zú zì zhì zhōu], Qinghai
祁門縣	祁门县	Qí mén xiàn	Qimen county in Huangshan 黃山|黄山[Huáng shān], Anhui
祁陽縣	祁阳县	Qí yáng xiàn	Qinyang county in Yongzhou 永州[Yǒng zhōu], Hunan
神奈川縣	神奈川县	Shén nài chuān xiàn	Kanagawa prefecture, Japan
神木縣	神木县	Shén mù Xiàn	Shenmu County in Yulin 榆林[Yú lín], Shaanxi
神池縣	神池县	Shén chí xiàn	Shenchi county in Xinzhou 忻州[Xīn zhōu], Shanxi
祥雲縣	祥云县	Xiáng yún xiàn	Xiangyun county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
祿勸彞族苗族自治縣	禄劝彝族苗族自治县	Lù quàn Yí zú Miáo zú Zì zhì xiàn	Luquan Yi and Miao autonomous county in Kunming 昆明[Kūn míng], Yunnan
祿勸縣	禄劝县	Lù quàn xiàn	Luquan Yi and Miao autonomous county in Kunming 昆明[Kūn míng], Yunnan
祿豐縣	禄丰县	Lù fēng xiàn	Lufeng county in Chuxiong Yi autonomous prefecture 楚雄彞族自治州|楚雄彝族自治州[Chǔ xióng Yí zú zì zhì zhōu], Yunnan
福岡縣	福冈县	Fú gāng xiàn	Fukuoka prefecture
福島縣	福岛县	Fú dǎo xiàn	Fukushima prefecture in north Japan
福海縣	福海县	Fú hǎi xiàn	Fuhai county or Burultoqay nahiyisi in Altay prefecture 阿勒泰地區|阿勒泰地区[Ā lè tài dì qū], Xinjiang
福貢縣	福贡县	Fú gòng xiàn	Fugong county in Nujiang Lisu autonomous prefecture 怒江傈僳族自治州[Nù jiāng Lì sù zú zì zhì zhōu] in northwest Yunnan
禮泉縣	礼泉县	Lǐ quán Xiàn	Liquan County in Xianyang 咸陽|咸阳[Xián yáng], Shaanxi
禮縣	礼县	Lǐ xiàn	Li county in Longnan 隴南|陇南[Lǒng nán], Gansu
秀山土家族苗族自治縣	秀山土家族苗族自治县	Xiù shān Tǔ jiā zú Miáo zú Zì zhì xiàn	Xiushan Miao and Tujia autonomous county in Qianjiang suburbs of Chongqing municipality
秀山縣	秀山县	Xiù shān xiàn	Xiushan Miao and Tujia autonomous county in Qianjiang suburbs of Chongqing municipality
秋田縣	秋田县	Qiū tián xiàn	Akita prefecture, northeast Japan
秦安縣	秦安县	Qín ān xiàn	Qin'an county in Tianshui 天水[Tiān shuǐ], Gansu
秭歸縣	秭归县	Zǐ guī Xiàn	Zigui county in Yichang 宜昌[Yí chāng], Hubei
稱多縣	称多县	Chèn duō xiàn	Chindu county (Tibetan: khri 'du rdzong) in Yushu Tibetan autonomous prefecture 玉樹藏族自治州|玉树藏族自治州[Yù shù Zàng zú zì zhì zhōu], Qinghai
稷山縣	稷山县	Jì shān xiàn	Jishan county in Yuncheng 運城|运城[Yùn chéng], Shanxi
稻城縣	稻城县	Dào chéng xiàn	Daocheng county (Tibetan: 'dab pa rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
積石山保安族東鄉族撒拉族自治縣	积石山保安族东乡族撒拉族自治县	Jī shí shān Bǎo ān zú Dōng xiāng zú Sā lā zú Zì zhì xiàn	Jishishan Bonan, Dongxiang and Salar autonomous county in Linxia Hui autonomous prefecture 臨夏回族自治州|临夏回族自治州[Lín xià Huí zú zì zhì zhōu], Gansu
突泉縣	突泉县	Tū quán xiàn	Tuquan county in Hinggan league 興安盟|兴安盟[Xīng ān méng], east Inner Mongolia
窮結縣	穷结县	Qióng jié xiàn	variant of 瓊結縣|琼结县[Qióng jié xiàn], Qonggyai county, Tibetan: 'Phyongs rgyas rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
竹山縣	竹山县	Zhú shān xiàn	Zhushan county in Shiyan 十堰[Shí yàn], Hubei
竹溪縣	竹溪县	Zhú xī xiàn	Zhuxi county in Shiyan 十堰[Shí yàn], Hubei
策勒縣	策勒县	Cè lè Xiàn	Chira County in Hotan Prefecture 和田地區|和田地区[Hé tián Dì qū], Xinjiang
筠連縣	筠连县	Yún lián xiàn	Yunlian county in Yibin 宜賓|宜宾[Yí bīn], Sichuan
範縣	范县	Fàn xiàn	Fan county in Puyang 濮陽|濮阳[Pú yáng], Henan
米易縣	米易县	Mǐ yì xiàn	Miyi county in Panzhihua 攀枝花[Pān zhī huā], south Sichuan
米林縣	米林县	Mǐ lín xiàn	Mainling county, Tibetan: Sman gling rdzong, in Nyingchi prefecture 林芝地區|林芝地区[Lín zhī dì qū], Tibet
米脂縣	米脂县	Mǐ zhī Xiàn	Mizhi County in Yulin 榆林[Yú lín], Shaanxi
精河縣	精河县	Jīng hé xiàn	Jing Nahiyisi or Jinghe county in Börtala Mongol autonomous prefecture 博爾塔拉蒙古自治州|博尔塔拉蒙古自治州, Xinjiang
紅原縣	红原县	Hóng yuán xiàn	Hongyuan county (Tibetan: rka khog rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
紅安縣	红安县	Hóng ān xiàn	Hong'an county in Huanggang 黃岡|黄冈[Huáng gāng], Hubei
紅河縣	红河县	Hóng hé xiàn	Honghe county in Honghe Hani and Yi autonomous prefecture, Yunnan
納雍縣	纳雍县	Nà yōng xiàn	Nayong county in Bijie prefecture 畢節地區|毕节地区[Bì jié dì qū], Guizhou
索縣	索县	Suǒ xiàn	Sog county, Tibetan: Sog rdzong, in Nagchu prefecture 那曲地區|那曲地区[Nà qǔ dì qū], central Tibet
紫云苗族布依族自治縣	紫云苗族布依族自治县	Zǐ yún Miáo zú Bù yī zú Zì zhì xiàn	Ziyun Hmong and Buyei autonomous county in Anshun 安順|安顺[Ān shùn], Guizhou
紫金縣	紫金县	Zǐ jīn xiàn	Zijin county in Heyuan 河源[Hé yuán], Guangdong
紫陽縣	紫阳县	Zǐ yáng Xiàn	Ziyang County in Ankang 安康[Ān kāng], Shaanxi
絳縣	绛县	Jiàng xiàn	Jiang county in Yuncheng 運城|运城[Yùn chéng], Shanxi
綏中縣	绥中县	Suí zhōng xiàn	Suizhong county in Huludao 葫蘆島|葫芦岛, Liaoning
綏寧縣	绥宁县	Suí níng xiàn	Suining county in Shaoyang 邵陽|邵阳[Shào yáng], Hunan
綏德縣	绥德县	Suí dé Xiàn	Suide County in Yulin 榆林[Yú lín], Shaanxi
綏江縣	绥江县	Suí jiāng xiàn	Suijiang county in Zhaotong 昭通[Zhāo tōng], Yunnan
綏濱縣	绥滨县	Suí bīn xiàn	Suibin county in Hegang 鶴崗|鹤岗[Hè gǎng], Heilongjiang
綏稜縣	绥棱县	Suí léng xiàn	Suileng county in Suihua 綏化|绥化, Heilongjiang
綏陽縣	绥阳县	Suí yáng xiàn	Suiyang county in Zunyi 遵義|遵义[Zūn yì], Guizhou
綠春縣	绿春县	Lǜ chūn xiàn	Lüxi county in Honghe Hani and Yi autonomous prefecture, Yunnan
綦江縣	綦江县	Qí jiāng xiàn	Qijiang suburban county in Chongqing municipality, formerly in Sichuan
維西傈僳族自治縣	维西傈僳族自治县	Wéi xī Lì sù zú Zì zhì xiàn	Weixi Lisu autonomous county in Diqing Tibetan autonomous prefecture 迪慶藏族自治州|迪庆藏族自治州, northwest Yunnan
維西縣	维西县	Wéi xī xiàn	Weixi Lisu autonomous county in Diqing Tibetan autonomous prefecture 迪慶藏族自治州|迪庆藏族自治州[Dí qìng Zàng zú zì zhì zhōu], northwest Yunnan
綿竹縣	绵竹县	Mián zhú xiàn	Mianzhu county in Deying 德阳 prefecture, Sichuan
縉雲縣	缙云县	Jìn yún xiàn	Jinyun county in Lishui 麗水|丽水[Lí shuǐ], Zhejiang
丁青縣	丁青县	Dīng qīng xiàn	Dêngqên county, Tibetan: Steng chen rdzong, in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet
縣令	县令	xiàn lìng	county magistrate (during Tang to Qing times)
縣名	县名	xiàn míng	name of county
縣地	县地	xiàn dì	county seat/county town
縣城	县城	xiàn chéng	county seat/county town
縣委	县委	xiàn wěi	CCP county committee
縣官	县官	xiàn guān	district magistrate/county magistrate
縣府	县府	xiàn fǔ	county government
縣志	县志	xiàn zhì	general history of a county/county annals
縣政府	县政府	xiàn zhèng fǔ	county administration/county regional government
縣界	县界	xiàn jiè	county border/county line
縣級	县级	xiàn jí	county level
縣級市	县级市	xiàn jí shì	county-level city
縣長	县长	xiàn zhǎng	county's head commissioner
績溪縣	绩溪县	Jì xī xiàn	Jixi county in Xuancheng 宣城[Xuān chéng], Anhui
繁峙縣	繁峙县	Fán shì xiàn	Fanshi county in Xinzhou 忻州[Xīn zhōu], Shanxi
繁昌縣	繁昌县	Fán chāng xiàn	Fanchang county in Wuhu 蕪湖|芜湖[Wú hú], Anhui
織金縣	织金县	Zhī jīn xiàn	Zhijin county in Bijie prefecture 畢節地區|毕节地区[Bì jié dì qū], Guizhou
羅城仫佬族自治縣	罗城仫佬族自治县	Luó chéng Mù lǎo zú Zì zhì xiàn	Luocheng Mulao autonomous county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
羅城縣	罗城县	Luó chéng xiàn	Luocheng Mulao autonomous county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
羅山縣	罗山县	Luó shān xiàn	Luoshan county in Xinyang 信陽|信阳, Henan
羅平縣	罗平县	Luó píng xiàn	Luoping county in Qujing 曲靖[Qǔ jìng], Yunnan
羅江縣	罗江县	Luó jiāng xiàn	Luojiang county in Deyang 德陽|德阳[Dé yáng], Sichuan
羅源縣	罗源县	Luó yuán xiàn	Luoyuan county in Fuzhou 福州[Fú zhōu], Fujian
羅田縣	罗田县	Luó tián xiàn	Luotian county in Huanggang 黃岡|黄冈[Huáng gāng], Hubei
羅甸縣	罗甸县	Luó diàn xiàn	Luodian county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
美姑縣	美姑县	Měi gū xiàn	Meigu county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
群馬縣	群马县	Qún mǎ xiàn	Gumma prefecture in northern Japan
義縣	义县	Yì xiàn	Yi county in Jinzhou 錦州|锦州, Liaoning
義縣龍	义县龙	Yì xiàn lóng	Yixianosaurus, genus of theropod dinosaur from Yi county 義縣|义县, Jinzhou 錦州|锦州, west Liaoning
翁安縣	翁安县	Wēng ān xiàn	Weng'an county in Qiannan Buyei and Miao autonomous prefecture 黔南布依族苗族自治州, Guizhou
翁源縣	翁源县	Wēng yuán Xiàn	Wengyuan County in Shaoguan 韶關|韶关[Sháo guān], Guangdong
習水縣	习水县	Xí shuǐ xiàn	Xishui county in Zunyi 遵義|遵义[Zūn yì], Guizhou
翼城縣	翼城县	Yì chéng xiàn	Yicheng county in Linfen 臨汾|临汾[Lín fén], Shanxi
耀縣	耀县	Yào xiàn	Yao county in Shaanxi
耿馬傣族佤族自治縣	耿马傣族佤族自治县	Gěng mǎ Dǎi zú Wǎ zú Zì zhì xiàn	Gengma Dai and Va autonomous county in Lincang 臨滄|临沧[Lín cāng], Yunnan
耿馬縣	耿马县	Gěng mǎ xiàn	Gengma Dai and Va autonomous county in Lincang 臨滄|临沧[Lín cāng], Yunnan
聞喜縣	闻喜县	Wén xǐ xiàn	Wenxi county in Yuncheng 運城|运城[Yùn chéng], Shanxi
聶拉木縣	聂拉木县	Niè lā mù xiàn	Nyalam county, Tibetan: Gnya' lam rdzong, in Shigatse prefecture, Tibet
聶榮縣	聂荣县	Niè róng xiàn	Nyainrong county, Tibetan: Gnyan rong rdzong, in Nagchu prefecture 那曲地區|那曲地区[Nà qǔ dì qū], central Tibet
肅北縣	肃北县	Sù běi xiàn	Subei Mongol autonomous county in Jiuquan 酒泉, Gansu
肅北蒙古族自治縣	肃北蒙古族自治县	Sù běi Měng gǔ zú Zì zhì xiàn	Subei Mongol autonomous county in Jiuquan 酒泉, Gansu
肅南裕固族自治縣	肃南裕固族自治县	Sù nán Yù gù zú Zì zhì xiàn	Sunan Yuguzu autonomous county in Gansu
肅寧縣	肃宁县	Sù níng xiàn	Suning county in Cangzhou 滄州|沧州[Cāng zhōu], Hebei
肇州縣	肇州县	Zhào zhōu xiàn	Zhaozhou county in Daqing 大慶|大庆[Dà qìng], Heilongjiang
肇源縣	肇源县	Zhào yuán xiàn	Zhaoyuan county in Daqing 大慶|大庆[Dà qìng], Heilongjiang
肥東縣	肥东县	Féi dōng xiàn	Feidong county in Hefei 合肥[Hé féi], Anhui
肥西縣	肥西县	Féi xī xiàn	Feixi county in Hefei 合肥[Hé féi], Anhui
肥鄉縣	肥乡县	Féi xiāng xiàn	Feixiang county in Handan 邯鄲|邯郸[Hán dān], Hebei
臨城縣	临城县	Lín chéng xiàn	Lincheng county in Xingtai 邢台[Xíng tái], Hebei
臨夏縣	临夏县	Lín xià xiàn	Linxia county city in Linxia Hui autonomous prefecture 臨夏回族自治州|临夏回族自治州[Lín xià Huí zú zì zhì zhōu], Gansu
臨安縣	临安县	Lín ān xiàn	Lin'an county in Zhejiang, west of Hangzhou
臨朐縣	临朐县	Lín qú Xiàn	Linqu County in Weifang 濰坊|潍坊[Wéi fāng], Shandong
臨桂縣	临桂县	Lín guì xiàn	Lingui county in Guilin 桂林[Guì lín], Guangxi
臨武縣	临武县	Lín wǔ xiàn	Linwu county in Chenzhou 郴州[Chēn zhōu], Hunan
臨沭縣	临沭县	Lín shù xiàn	Linshu county in Linyi 臨沂|临沂[Lín yí], Shandong
